
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1468
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       7356
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       1736
  TCP    0.0.0.0:5000           0.0.0.0:0              LISTENING       23284
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       11212
  TCP    0.0.0.0:7070           0.0.0.0:0              LISTENING       5892
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       7724
  TCP    0.0.0.0:8090           0.0.0.0:0              LISTENING       14012
  TCP    0.0.0.0:15611          0.0.0.0:0              LISTENING       23440
  TCP    0.0.0.0:27000          0.0.0.0:0              LISTENING       9240
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       7356
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1148
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       8
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1972
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3160
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3256
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       5772
  TCP    0.0.0.0:49679          0.0.0.0:0              LISTENING       1108
  TCP    0.0.0.0:49687          0.0.0.0:0              LISTENING       4740
  TCP    0.0.0.0:56332          0.0.0.0:0              LISTENING       21548
  TCP    0.0.0.0:57470          0.0.0.0:0              LISTENING       21628
  TCP    127.0.0.1:3306         127.0.0.1:55432        ESTABLISHED     7356
  TCP    127.0.0.1:3306         127.0.0.1:55433        ESTABLISHED     7356
  TCP    127.0.0.1:3306         127.0.0.1:55738        ESTABLISHED     7356
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       1720
  TCP    127.0.0.1:5611         0.0.0.0:0              LISTENING       25304
  TCP    127.0.0.1:5611         127.0.0.1:58211        ESTABLISHED     25304
  TCP    127.0.0.1:8000         0.0.0.0:0              LISTENING       11360
  TCP    127.0.0.1:9222         0.0.0.0:0              LISTENING       27500
  TCP    127.0.0.1:9222         127.0.0.1:52865        ESTABLISHED     27500
  TCP    127.0.0.1:9222         127.0.0.1:56589        ESTABLISHED     27500
  TCP    127.0.0.1:9222         127.0.0.1:56629        ESTABLISHED     27500
  TCP    127.0.0.1:9222         127.0.0.1:59454        ESTABLISHED     27500
  TCP    127.0.0.1:9222         127.0.0.1:59457        ESTABLISHED     27500
  TCP    127.0.0.1:9222         127.0.0.1:60550        ESTABLISHED     27500
  TCP    127.0.0.1:9222         127.0.0.1:60555        ESTABLISHED     27500
  TCP    127.0.0.1:9222         127.0.0.1:63042        ESTABLISHED     27500
  TCP    127.0.0.1:10089        0.0.0.0:0              LISTENING       6504
  TCP    127.0.0.1:27000        127.0.0.1:56336        ESTABLISHED     9240
  TCP    127.0.0.1:27017        0.0.0.0:0              LISTENING       6092
  TCP    127.0.0.1:49206        0.0.0.0:0              LISTENING       9136
  TCP    127.0.0.1:49325        127.0.0.1:54623        ESTABLISHED     11044
  TCP    127.0.0.1:49675        127.0.0.1:49676        ESTABLISHED     7356
  TCP    127.0.0.1:49676        127.0.0.1:49675        ESTABLISHED     7356
  TCP    127.0.0.1:49677        127.0.0.1:49678        ESTABLISHED     7356
  TCP    127.0.0.1:49678        127.0.0.1:49677        ESTABLISHED     7356
  TCP    127.0.0.1:50356        127.0.0.1:50357        ESTABLISHED     1720
  TCP    127.0.0.1:50357        127.0.0.1:50356        ESTABLISHED     1720
  TCP    127.0.0.1:50360        127.0.0.1:50361        ESTABLISHED     1720
  TCP    127.0.0.1:50361        127.0.0.1:50360        ESTABLISHED     1720
  TCP    127.0.0.1:52108        127.0.0.1:59782        ESTABLISHED     22108
  TCP    127.0.0.1:52865        127.0.0.1:9222         ESTABLISHED     11044
  TCP    127.0.0.1:54324        127.0.0.1:54623        ESTABLISHED     11044
  TCP    127.0.0.1:54325        127.0.0.1:54623        ESTABLISHED     11044
  TCP    127.0.0.1:54326        127.0.0.1:54623        ESTABLISHED     11044
  TCP    127.0.0.1:54623        0.0.0.0:0              LISTENING       8940
  TCP    127.0.0.1:54623        127.0.0.1:49325        ESTABLISHED     8940
  TCP    127.0.0.1:54623        127.0.0.1:54324        ESTABLISHED     8940
  TCP    127.0.0.1:54623        127.0.0.1:54325        ESTABLISHED     8940
  TCP    127.0.0.1:54623        127.0.0.1:54326        ESTABLISHED     8940
  TCP    127.0.0.1:54623        127.0.0.1:54632        ESTABLISHED     8940
  TCP    127.0.0.1:54623        127.0.0.1:54633        ESTABLISHED     8940
  TCP    127.0.0.1:54623        127.0.0.1:55638        TIME_WAIT       0
  TCP    127.0.0.1:54623        127.0.0.1:55673        TIME_WAIT       0
  TCP    127.0.0.1:54623        127.0.0.1:55696        TIME_WAIT       0
  TCP    127.0.0.1:54623        127.0.0.1:59038        TIME_WAIT       0
  TCP    127.0.0.1:54625        0.0.0.0:0              LISTENING       11044
  TCP    127.0.0.1:54625        127.0.0.1:58536        ESTABLISHED     11044
  TCP    127.0.0.1:54625        127.0.0.1:64476        ESTABLISHED     11044
  TCP    127.0.0.1:54626        0.0.0.0:0              LISTENING       11044
  TCP    127.0.0.1:54626        127.0.0.1:49327        TIME_WAIT       0
  TCP    127.0.0.1:54626        127.0.0.1:55685        TIME_WAIT       0
  TCP    127.0.0.1:54626        127.0.0.1:55694        TIME_WAIT       0
  TCP    127.0.0.1:54626        127.0.0.1:55766        TIME_WAIT       0
  TCP    127.0.0.1:54631        0.0.0.0:0              LISTENING       11044
  TCP    127.0.0.1:54631        127.0.0.1:64475        ESTABLISHED     11044
  TCP    127.0.0.1:54632        127.0.0.1:54623        ESTABLISHED     11044
